"","date","league_id","league","team1","team2","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","score1","score2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2"
"1","2022-11-24",1908,"FIFA World Cup","Brazil","Serbia",93.55,75.84,0.6787,0.1124,0.2089,2.11,0.72,2,0,1.48,0.18,1.4,0.36,2.02,0
"2","2022-11-28",1908,"FIFA World Cup","Cameroon","Serbia",63.62,74.55,0.2444,0.4575,0.2981,0.94,1.39,3,3,0.91,1.2,0.85,1.95,3.15,3.15
"3","2022-12-02",1908,"FIFA World Cup","South Korea","Portugal",66.93,87.55,0.1666,0.5866,0.2468,0.86,1.84,2,1,0.85,0.9,0.72,0.64,2.1,1.05
"4","2022-12-04",1908,"FIFA World Cup","France","Poland",88.57,65.77,0.8133,0.1867,0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,1.05
"5","2022-12-01",1908,"FIFA World Cup","Costa Rica","Germany",52.9,88.86,0.0512,0.8045,0.1442,0.5,2.55,2,4,1.27,4.41,0.33,5.9,2.1,3.72
"6","2022-12-10",1908,"FIFA World Cup","Morocco","Portugal",74.45,87.92,0.3185,0.6815,0,0.83,1.46,1,0,0.57,1.11,0.67,1.32,1.05,0
"7","2022-11-29",1908,"FIFA World Cup","Netherlands","Qatar",84.38,48.46,0.7768,0.0696,0.1536,2.6,0.65,2,0,1.36,0.19,1.06,0.45,2.1,0
"8","2022-12-09",1908,"FIFA World Cup","Croatia","Brazil",78.99,93.47,0.2264,0.7736,0,0.68,1.72,1,1,0.62,1.9,1.1,2.74,1.05,1.05
"9","2022-11-21",1908,"FIFA World Cup","USA","Wales",74.83,65.58,0.4489,0.2591,0.292,1.42,1.01,1,1,0.33,1.78,0.48,0.95,1.05,1.05
"10","2022-12-14",1908,"FIFA World Cup","France","Morocco",87.72,75.13,0.6646,0.3354,0,1.38,0.82,2,0,1.4,0.79,1.43,0.7,1.87,0
"11","2022-12-18",1908,"FIFA World Cup","Argentina","France",88.86,88.41,0.5321,0.4679,0,1.3,1.18,3,3,2.81,2.25,2.36,0.76,3.15,3.15
"12","2022-11-23",1908,"FIFA World Cup","Morocco","Croatia",75.62,78.84,0.3176,0.3898,0.2926,1.18,1.34,0,0,0.28,0.88,0.54,0.64,0,0
"13","2022-11-29",1908,"FIFA World Cup","Ecuador","Senegal",75.82,73,0.3668,0.2961,0.3371,1.06,0.92,1,2,0.61,1.73,0.77,1.14,1.05,2.1
"14","2022-11-26",1908,"FIFA World Cup","France","Denmark",89.25,78.87,0.5064,0.2192,0.2744,1.6,0.96,2,1,2.06,0.5,2.3,0.7,2.1,1.05
"15","2022-11-25",1908,"FIFA World Cup","Wales","Iran",67.64,63.33,0.3875,0.2969,0.3156,1.2,1.01,0,2,0.9,1.43,0.89,1.67,0,1.26
